#DRSE 153 Mpc
#frequency seismic suspension_thermal mirror_thermal quantum quantum_squeezing total
1.000e+00 7.775e-16 9.711e-20 2.136e-23 2.974e-20 6.055e-20 7.775e-16
1.009e+00 7.226e-16 9.291e-20 2.126e-23 2.920e-20 5.945e-20 7.226e-16
1.019e+00 6.716e-16 8.898e-20 2.116e-23 2.867e-20 5.836e-20 6.716e-16
1.028e+00 6.241e-16 8.531e-20 2.107e-23 2.814e-20 5.730e-20 6.241e-16
1.038e+00 5.801e-16 8.187e-20 2.097e-23 2.763e-20 5.625e-20 5.801e-16
1.047e+00 5.391e-16 7.865e-20 2.088e-23 2.712e-20 5.522e-20 5.391e-16
1.057e+00 5.011e-16 7.562e-20 2.078e-23 2.663e-20 5.421e-20 5.011e-16
1.067e+00 4.657e-16 7.278e-20 2.069e-23 2.614e-20 5.322e-20 4.657e-16
1.077e+00 4.328e-16 7.010e-20 2.060e-23 2.566e-20 5.225e-20 4.328e-16
1.087e+00 4.023e-16 6.758e-20 2.050e-23 2.520e-20 5.130e-20 4.023e-16
1.097e+00 3.739e-16 6.521e-20 2.041e-23 2.474e-20 5.036e-20 3.739e-16
1.107e+00 3.476e-16 6.297e-20 2.032e-23 2.428e-20 4.944e-20 3.476e-16
1.117e+00 3.230e-16 6.085e-20 2.023e-23 2.384e-20 4.854e-20 3.230e-16
1.127e+00 3.003e-16 5.886e-20 2.013e-23 2.340e-20 4.765e-20 3.003e-16
1.138e+00 2.791e-16 5.697e-20 2.004e-23 2.298e-20 4.678e-20 2.791e-16
1.148e+00 2.594e-16 5.519e-20 1.995e-23 2.256e-20 4.593e-20 2.594e-16
1.159e+00 2.411e-16 5.351e-20 1.986e-23 2.214e-20 4.509e-20 2.411e-16
1.170e+00 2.242e-16 5.192e-20 1.977e-23 2.174e-20 4.427e-20 2.242e-16
1.181e+00 2.084e-16 5.042e-20 1.968e-23 2.134e-20 4.346e-20 2.084e-16
1.191e+00 1.937e-16 4.900e-20 1.959e-23 2.095e-20 4.266e-20 1.937e-16
1.202e+00 1.801e-16 4.766e-20 1.951e-23 2.057e-20 4.188e-20 1.801e-16
1.214e+00 1.674e-16 4.640e-20 1.942e-23 2.019e-20 4.112e-20 1.674e-16
1.225e+00 1.556e-16 4.520e-20 1.933e-23 1.982e-20 4.037e-20 1.556e-16
1.236e+00 1.447e-16 4.408e-20 1.924e-23 1.946e-20 3.963e-20 1.447e-16
1.248e+00 1.345e-16 4.303e-20 1.916e-23 1.911e-20 3.891e-20 1.345e-16
1.259e+00 1.250e-16 4.204e-20 1.907e-23 1.876e-20 3.820e-20 1.250e-16
1.271e+00 1.162e-16 4.111e-20 1.898e-23 1.841e-20 3.750e-20 1.162e-16
1.283e+00 1.081e-16 4.024e-20 1.890e-23 1.808e-20 3.682e-20 1.081e-16
1.295e+00 1.005e-16 3.943e-20 1.881e-23 1.775e-20 3.614e-20 1.005e-16
1.307e+00 9.340e-17 3.868e-20 1.873e-23 1.742e-20 3.548e-20 9.340e-17
