freq, Total, Seismic, Newtonian, TnTot, tnMir, tnPend, ThElastMir, tnviol, Shot, RadPres, QL, Creep, Acoustic, Distorsion, reflect, Absorption, Magnetic
0.1012, 1.494E-9, 1.494E-9, 2.865E-14, 7.312E-18, 1.302E-21, 7.312E-18, 7.761E-22, 6.728E-23, 3.208E-23, 2.34E-19, 3.519E-21, 5.524E-22, 2.013E-23, 7.691E-21, 1.286E-22, 1.186E-19, 2.46E-15
0.1023, 1.428E-9, 1.428E-9, 2.736E-14, 7.275E-18, 1.294E-21, 7.275E-18, 7.672E-22, 6.689E-23, 3.208E-23, 2.287E-19, 3.479E-21, 5.461E-22, 1.945E-23, 7.473E-21, 1.257E-22, 1.152E-19, 2.351E-15
0.1035, 1.365E-9, 1.365E-9, 2.613E-14, 7.238E-18, 1.287E-21, 7.238E-18, 7.585E-22, 6.651E-23, 3.208E-23, 2.235E-19, 3.439E-21, 5.398E-22, 1.879E-23, 7.261E-21, 1.228E-22, 1.119E-19, 2.247E-15
0.1047, 1.305E-9, 1.305E-9, 2.495E-14, 7.202E-18, 1.279E-21, 7.202E-18, 7.498E-22, 6.612E-23, 3.208E-23, 2.184E-19, 3.4E-21, 5.337E-22, 1.815E-23, 7.055E-21, 1.2E-22, 1.088E-19, 2.147E-15
0.1059, 1.247E-9, 1.247E-9, 2.383E-14, 7.166E-18, 1.272E-21, 7.166E-18, 7.412E-22, 6.574E-23, 3.208E-23, 2.134E-19, 3.361E-21, 5.276E-22, 1.753E-23, 6.855E-21, 1.173E-22, 1.057E-19, 2.052E-15
0.1072, 1.193E-9, 1.193E-9, 2.276E-14, 7.131E-18, 1.265E-21, 7.131E-18, 7.327E-22, 6.537E-23, 3.208E-23, 2.086E-19, 3.323E-21, 5.215E-22, 1.694E-23, 6.66E-21, 1.146E-22, 1.027E-19, 1.961E-15
0.1084, 1.141E-9, 1.141E-9, 2.173E-14, 7.095E-18, 1.257E-21, 7.095E-18, 7.243E-22, 6.499E-23, 3.208E-23, 2.038E-19, 3.284E-21, 5.156E-22, 1.636E-23, 6.471E-21, 1.12E-22, 9.977E-20, 1.874E-15
0.1096, 1.092E-9, 1.092E-9, 2.075E-14, 7.06E-18, 1.25E-21, 7.06E-18, 7.16E-22, 6.462E-23, 3.208E-23, 1.992E-19, 3.247E-21, 5.097E-22, 1.581E-23, 6.287E-21, 1.095E-22, 9.694E-20, 1.791E-15
0.1109, 1.045E-9, 1.045E-9, 1.982E-14, 7.025E-18, 1.243E-21, 7.025E-18, 7.078E-22, 6.425E-23, 3.208E-23, 1.946E-19, 3.21E-21, 5.038E-22, 1.527E-23, 6.109E-21, 1.07E-22, 9.419E-20, 1.712E-15
0.1122, 1.001E-9, 1.001E-9, 1.893E-14, 6.991E-18, 1.236E-21, 6.991E-18, 6.997E-22, 6.388E-23, 3.208E-23, 1.902E-19, 3.173E-21, 4.981E-22, 1.475E-23, 5.936E-21, 1.045E-22, 9.151E-20, 1.637E-15
0.1135, 9.582E-10, 9.582E-10, 1.808E-14, 6.957E-18, 1.229E-21, 6.957E-18, 6.917E-22, 6.351E-23, 3.208E-23, 1.859E-19, 3.137E-21, 4.924E-22, 1.425E-23, 5.767E-21, 1.022E-22, 8.892E-20, 1.564E-15
0.1148, 9.178E-10, 9.178E-10, 1.726E-14, 6.923E-18, 1.222E-21, 6.923E-18, 6.838E-22, 6.315E-23, 3.208E-23, 1.817E-19, 3.101E-21, 4.867E-22, 1.377E-23, 5.604E-21, 9.984E-23, 8.639E-20, 1.495E-15
0.1161, 8.793E-10, 8.793E-10, 1.649E-14, 6.89E-18, 1.215E-21, 6.89E-18, 6.76E-22, 6.279E-23, 3.208E-23, 1.775E-19, 3.065E-21, 4.812E-22, 1.33E-23, 5.445E-21, 9.756E-23, 8.394E-20, 1.429E-15
0.1175, 8.426E-10, 8.426E-10, 1.574E-14, 6.856E-18, 1.208E-21, 6.856E-18, 6.682E-22, 6.243E-23, 3.208E-23, 1.735E-19, 3.03E-21, 4.757E-22, 1.285E-23, 5.29E-21, 9.534E-23, 8.156E-20, 1.366E-15
